
=== 执行时间: 2026-04-28 17:19:42 ===
处理总数: 2761 篇 | 成功添加: 2460 篇 | 跳过: 301 篇
✅ 成功 | work-story/1v1/finance-study-easy-1016.md | 匹配关键词: default
✅ 成功 | work-story/1v1/zhuanke-coder-1v1.md | 匹配关键词: code
✅ 成功 | work-story/1v1/amazon-auto-py.md | 匹配关键词: default
✅ 成功 | work-story/1v1/py-test-ji20231006.md | 匹配关键词: default
✅ 成功 | work-story/1v1/init-py-work-0827.md | 匹配关键词: default
✅ 成功 | work-story/1v1/readme.md | 匹配关键词: default
✅ 成功 | work-story/1v1/four-step-init.md | 匹配关键词: default
✅ 成功 | work-story/1v1/study-fourty-init-1009.md | 匹配关键词: default
✅ 成功 | work-story/1v1/tumu-cq-qa-230720.md | 匹配关键词: default
✅ 成功 | work-story/1v1/gui-fapiao-ocr-1014.md | 匹配关键词: default
✅ 成功 | work-story/1v1/newyork-coder-study.md | 匹配关键词: code
✅ 成功 | work-story/no-car-home-28.md | 匹配关键词: default
✅ 成功 | work-story/app-network-simple.md | 匹配关键词: default
✅ 成功 | work-story/usa-python-web-0-step.md | 匹配关键词: python
✅ 成功 | work-story/fired-30-alal.md | 匹配关键词: default
✅ 成功 | work-story/kaoyan-fail-guoqi.md | 匹配关键词: ai
✅ 成功 | work-story/cv-python-qa.md | 匹配关键词: python
✅ 成功 | work-story/finance-study-py-4-data-analysis.md | 匹配关键词: data
✅ 成功 | article/pandas/why-pandas-slow.md | 匹配关键词: default
✅ 成功 | article/CQ/20251104-逃离重庆.md | 匹配关键词: default
✅ 成功 | article/大佬/刘强东/1-刘强东更新兄弟论：绩效差的不是我兄弟.md | 匹配关键词: default
✅ 成功 | article/麓悦江城/20240817-小红书.md | 匹配关键词: default
✅ 成功 | article/books/20251104-小岛经济学.md | 匹配关键词: default
✅ 成功 | article/business/20250719-外卖补贴大战.md | 匹配关键词: default
✅ 成功 | article/business/250705-华为盘古团队否认抄袭通义千问.md | 匹配关键词: default
✅ 成功 | article/business/250710-特斯拉纯视觉.md | 匹配关键词: default
✅ 成功 | article/腾讯云/1-why.md | 匹配关键词: default
✅ 成功 | article/cup-ai-1-meixi.md | 匹配关键词: ai
✅ 成功 | article/108-lib-pip.md | 匹配关键词: default
❌ 跳过 | chatgpt/zhongkeyuan-001.md | 无frontmatter
✅ 成功 | log/2026/travel/0120-新马泰-预订指南.md | 匹配关键词: default
✅ 成功 | log/2026/travel/260216-曼谷.md | 匹配关键词: default
✅ 成功 | log/2026/travel/0120-新马泰.md | 匹配关键词: default
✅ 成功 | log/2026/travel/260222-run新加坡.md | 匹配关键词: default
✅ 成功 | log/2026/travel/260219-马来西亚.md | 匹配关键词: default
✅ 成功 | log/2026/travel/260219-AI马来西亚.md | 匹配关键词: ai
✅ 成功 | log/2026/visa/0126-全世界的数字游民签证.md | 匹配关键词: default
✅ 成功 | log/2026/visa/0224-程序员移民.md | 匹配关键词: default
✅ 成功 | log/2026/visa/0127-德国.md | 匹配关键词: default
✅ 成功 | log/2026/visa/0224-init.md | 匹配关键词: default
✅ 成功 | log/2026/AICoding/0.md | 匹配关键词: default
✅ 成功 | log/2026/freedom/1-副业超过主业.md | 匹配关键词: default
✅ 成功 | log/2026/freedom/2-炖鸡汤.md | 匹配关键词: default
✅ 成功 | log/2026/freedom/0.md | 匹配关键词: default
✅ 成功 | log/2026/0104-focusee.md | 匹配关键词: default
✅ 成功 | log/2026/0115-我不是胖鱼.md | 匹配关键词: default
✅ 成功 | log/2026/0104-何同学的钢琴.md | 匹配关键词: default
✅ 成功 | log/2026/0122-notion.md | 匹配关键词: default
✅ 成功 | log/2026/0109-年轻人想退休.md | 匹配关键词: default
✅ 成功 | log/2026/0127-ma.md | 匹配关键词: default
✅ 成功 | log/2026/0129-微信更新.md | 匹配关键词: default
✅ 成功 | log/2026/0124-爱听音乐了.md | 匹配关键词: default
✅ 成功 | log/2026/0106-人性算法.md | 匹配关键词: default
✅ 成功 | log/2026/0107-build_in_public.md | 匹配关键词: default
✅ 成功 | log/2026/0123-队友.md | 匹配关键词: default
✅ 成功 | log/2026/0128-moltbot-t.md | 匹配关键词: default
✅ 成功 | log/2026/0101-护照到期.md | 匹配关键词: default
✅ 成功 | log/2026/0128-moltbot-ali.md | 匹配关键词: default
✅ 成功 | log/2023/12/poemail/1219-email-send-file.md | 匹配关键词: ai
✅ 成功 | log/2023/12/poemail/1219-email003-pre.md | 匹配关键词: ai
✅ 成功 | log/2023/12/poemail/1219-email002.md | 匹配关键词: ai
✅ 成功 | log/2023/12/poemail/1224-py-email.md | 匹配关键词: ai
✅ 成功 | log/2023/12/poemail/1219-email003.md | 匹配关键词: ai
✅ 成功 | log/2023/12/1217-历史转行程序员裁员了.md | 匹配关键词: default
✅ 成功 | log/2023/12/1220-robot-problem.md | 匹配关键词: robot
✅ 成功 | log/2023/12/1210-72b.md | 匹配关键词: default
✅ 成功 | log/2023/12/1217-我怕喝醉.md | 匹配关键词: default
✅ 成功 | log/2023/12/1213-用AI画个女朋友.md | 匹配关键词: ai
✅ 成功 | log/2023/12/1227-decimal.md | 匹配关键词: default
✅ 成功 | log/2023/12/1205-AI绘画-正文.md | 匹配关键词: ai
✅ 成功 | log/2023/12/1202-活动总结.md | 匹配关键词: default
✅ 成功 | log/2023/12/1205-AI绘画-资料.md | 匹配关键词: ai
✅ 成功 | log/2023/12/1213-低工资.md | 匹配关键词: default
✅ 成功 | log/2023/12/1206-课程开发.md | 匹配关键词: default
✅ 成功 | log/2023/12/1212-todolist.md | 匹配关键词: default
✅ 成功 | log/2023/12/1219-自媒体总结.md | 匹配关键词: default
✅ 成功 | log/2023/12/1209-robot.md | 匹配关键词: robot
✅ 成功 | log/2023/12/1224-chenmo.md | 匹配关键词: default
✅ 成功 | log/2023/12/1208-py+office.md | 匹配关键词: default
✅ 成功 | log/2023/10/102202.md | 匹配关键词: default
✅ 成功 | log/2023/10/101902.md | 匹配关键词: default
✅ 成功 | log/2023/10/1029.md | 匹配关键词: default
✅ 成功 | log/2023/10/1024.md | 匹配关键词: default
✅ 成功 | log/2023/10/101901.md | 匹配关键词: default
✅ 成功 | log/2023/10/1030.md | 匹配关键词: default
✅ 成功 | log/2023/10/102201.md | 匹配关键词: default
✅ 成功 | log/2023/11/1107.md | 匹配关键词: default
✅ 成功 | log/2023/11/1102-10月总结.md | 匹配关键词: default
✅ 成功 | log/2023/11/1102-python所有版本.md | 匹配关键词: python
✅ 成功 | log/2023/11/1129-识别银行卡到Excel.md | 匹配关键词: default
✅ 成功 | log/2023/11/1106.md | 匹配关键词: default
✅ 成功 | log/2023/11/1102-巧妙进大厂.md | 匹配关键词: default
✅ 成功 | log/2023/11/1119.md | 匹配关键词: default
✅ 成功 | log/2023/11/1109.md | 匹配关键词: default
✅ 成功 | log/2023/11/1129-pycon演讲.md | 匹配关键词: default
✅ 成功 | log/2023/11/1123-ocr的大纲.md | 匹配关键词: default
✅ 成功 | log/2023/11/1129-识别车牌到Excel.md | 匹配关键词: default
✅ 成功 | log/2023/11/1130-ocr.md | 匹配关键词: default
✅ 成功 | log/2023/11/1120-PDF转Word.md | 匹配关键词: default
✅ 成功 | log/2023/11/1123-志愿者爆满.md | 匹配关键词: default
✅ 成功 | log/2023/11/1101.md | 匹配关键词: default
✅ 成功 | log/2023/11/1125-重庆站的资料.md | 匹配关键词: default
✅ 成功 | log/2023/11/1105.md | 匹配关键词: default
✅ 成功 | log/2023/11/1114.md | 匹配关键词: default
✅ 成功 | log/2023/11/1102-程序员炫富.md | 匹配关键词: default
✅ 成功 | log/2023/11/1104.md | 匹配关键词: default
✅ 成功 | log/2023/todolist.md | 匹配关键词: default
✅ 成功 | log/2024/5/20240506-裁员先裁程序员.md | 匹配关键词: default
✅ 成功 | log/2024/5/20240506-学习计划.md | 匹配关键词: default
✅ 成功 | log/2024/5/20240520-深夜自白.md | 匹配关键词: default
✅ 成功 | log/2024/2/0205-红包封面.md | 匹配关键词: default
✅ 成功 | log/2024/2/0215-抢茅台-代码.md | 匹配关键词: default
✅ 成功 | log/2024/2/0205-花式秀娃.md | 匹配关键词: default
✅ 成功 | log/2024/2/0216-聊天记录导出-link.md | 匹配关键词: default
✅ 成功 | log/2024/2/0216-聊天记录导出.md | 匹配关键词: default
✅ 成功 | log/2024/2/0215-抢茅台.md | 匹配关键词: default
✅ 成功 | log/2024/4/3月总结.md | 匹配关键词: default
✅ 成功 | log/2024/4/支持擦边女律师，被骂了.md | 匹配关键词: default
✅ 成功 | log/2024/4/线下活动.md | 匹配关键词: default
✅ 成功 | log/2024/10/1-9月总结.md | 匹配关键词: default
✅ 成功 | log/2024/1/0110-filter.md | 匹配关键词: default
✅ 成功 | log/2024/1/0115-在线运行python-link.md | 匹配关键词: python
✅ 成功 | log/2024/1/0101-10-python-ebook.md | 匹配关键词: python
✅ 成功 | log/2024/1/0104-ali-5wang.md | 匹配关键词: default
✅ 成功 | log/2024/1/0114-0基础学自动化办公.md | 匹配关键词: default
✅ 成功 | log/2024/1/0122-公众号接入阿里大模型.md | 匹配关键词: default
✅ 成功 | log/2024/1/0120-1行代码调用通义.md | 匹配关键词: default
✅ 成功 | log/2024/1/0110-match-case.md | 匹配关键词: default
✅ 成功 | log/2024/1/0116-通义千问.md | 匹配关键词: default
✅ 成功 | log/2024/1/0115-在线运行python.md | 匹配关键词: python
✅ 成功 | log/2024/1/0131-机器人加入阿里大模型.md | 匹配关键词: default
✅ 成功 | log/2024/1/0117-poemail答疑-001.md | 匹配关键词: ai
✅ 成功 | log/2024/1/0101-uc.md | 匹配关键词: default
✅ 成功 | log/2024/1/0111-ai-tools.md | 匹配关键词: ai
✅ 成功 | log/2024/1/0127-palu.md | 匹配关键词: default
✅ 成功 | log/2024/1/0120-1行代码调用通义-免费使用.md | 匹配关键词: default
✅ 成功 | log/2024/带货/邮电-大模型.md | 匹配关键词: default
✅ 成功 | log/2024/悉尼/2-国庆攻略.md | 匹配关键词: default
✅ 成功 | log/2024/悉尼/21-套路.md | 匹配关键词: default
✅ 成功 | log/2024/all.md | 匹配关键词: default
✅ 成功 | log/2024/1216-12月总结.md | 匹配关键词: default
✅ 成功 | log/2024/1219-psf.md | 匹配关键词: default
✅ 成功 | log/2024/1225-女博士onlyfans.md | 匹配关键词: default
✅ 成功 | log/2024/1225-gitlab.md | 匹配关键词: git
✅ 成功 | log/2024/1222-小满渡.md | 匹配关键词: default
✅ 成功 | log/2024/1117-11月总结.md | 匹配关键词: default
✅ 成功 | log/2024/1229-2024年总结.md | 匹配关键词: default
✅ 成功 | log/2025/7/250715-特斯拉撞醒了百度.md | 匹配关键词: default
✅ 成功 | log/2025/7/250715-大工女生.md | 匹配关键词: default
✅ 成功 | log/2025/7/250704-上班的意义.md | 匹配关键词: default
✅ 成功 | log/2025/7/20250722-python历史.md | 匹配关键词: python
✅ 成功 | log/2025/7/20250716-十年老粉.md | 匹配关键词: default
✅ 成功 | log/2025/7/250705-p2p判了.md | 匹配关键词: default
✅ 成功 | log/2025/7/250717-为什么一定要用英伟达.md | 匹配关键词: default
✅ 成功 | log/2025/0524-营销发布开源.md | 匹配关键词: default
✅ 成功 | log/2025/0508-转行.md | 匹配关键词: default
✅ 成功 | log/2025/1222-公众号检测.md | 匹配关键词: default
✅ 成功 | log/2025/1220-年终总结.md | 匹配关键词: default
✅ 成功 | log/2025/0912-喜欢的工作.md | 匹配关键词: default
✅ 成功 | log/2025/0915-小明的第一个商单.md | 匹配关键词: default
✅ 成功 | log/2025/0624-软考差2分.md | 匹配关键词: default
✅ 成功 | log/2025/0525-软考中级.md | 匹配关键词: default
✅ 成功 | log/2025/0605-gpt的劝诫.md | 匹配关键词: default
✅ 成功 | log/2025/0103-跳槽的建议.md | 匹配关键词: default
✅ 成功 | log/2025/0915-法务8个月.md | 匹配关键词: default
✅ 成功 | log/2025/0918-感觉又回来了.md | 匹配关键词: default
✅ 成功 | log/2025/0917-成为混子.md | 匹配关键词: default
✅ 成功 | log/2025/0407-AI自媒体.md | 匹配关键词: ai
✅ 成功 | log/2025/0508-第一个100万.md | 匹配关键词: default
✅ 成功 | log/2025/0428-知乎认证.md | 匹配关键词: default
✅ 成功 | log/2025/0101-work.md | 匹配关键词: default
✅ 成功 | log/2025/1024-2人离职.md | 匹配关键词: default
✅ 成功 | log/2025/1222-小红书点点.md | 匹配关键词: default
✅ 成功 | log/2025/0818-我到哪里去.md | 匹配关键词: default
✅ 成功 | log/2025/0818-sls面试.md | 匹配关键词: default
✅ 成功 | log/2025/0401-个人网站.md | 匹配关键词: default
✅ 成功 | log/2025/0107-爬虫防坐牢.md | 匹配关键词: default
✅ 成功 | log/2025/0313-4合1.md | 匹配关键词: default
✅ 成功 | log/2025/1109-过河拆桥.md | 匹配关键词: default
✅ 成功 | log/2025/0922-ToDoList.md | 匹配关键词: default
✅ 成功 | log/2025/0428-怎么卖课.md | 匹配关键词: default
✅ 成功 | log/2025/0928-好好做内容.md | 匹配关键词: default
✅ 成功 | log/2025/a-模板.md | 匹配关键词: default
✅ 成功 | log/2025/0115-更新的债.md | 匹配关键词: default
✅ 成功 | log/2025/0514-我和同事.md | 匹配关键词: default
✅ 成功 | log/2025/0821-1w和3w.md | 匹配关键词: default
✅ 成功 | log/2025/0821-绩效面谈.md | 匹配关键词: default
✅ 成功 | log/2025/1029-中国版u2b.md | 匹配关键词: default
✅ 成功 | log/2025/0917-失业.md | 匹配关键词: default
✅ 成功 | log/2025/1221-小米超级岛.md | 匹配关键词: default
✅ 成功 | log/2025/1222-2个方向.md | 匹配关键词: default
✅ 成功 | log/2025/0420-退路.md | 匹配关键词: default
✅ 成功 | log/2025/0616-第一次结婚.md | 匹配关键词: default
✅ 成功 | log/2025/0515-不推荐来重庆.md | 匹配关键词: default
✅ 成功 | log/2025/1228-桌面乱套了.md | 匹配关键词: default
✅ 成功 | log/2025/0621-第一次加班.md | 匹配关键词: default
✅ 成功 | log/2025/0809-重庆之心.md | 匹配关键词: default
✅ 成功 | log/2025/0325-logorder.md | 匹配关键词: default
✅ 成功 | log/2025/0225-开源经验.md | 匹配关键词: default
✅ 成功 | log/2025/1107-五年域名到期前，我悟了技术成长与副业变现的真相（职场人必看）.md | 匹配关键词: default
✅ 成功 | log/2025/0415-exam.md | 匹配关键词: default
✅ 成功 | log/2025/0909-擦边都没机会了.md | 匹配关键词: default
✅ 成功 | log/2025/0515-不支持独立部署大模型.md | 匹配关键词: default
✅ 成功 | log/2025/0217-不回消息.md | 匹配关键词: default
❌ 跳过 | log/2022/20220521.md | 无frontmatter
✅ 成功 | PyOfficeRobot/20240605-3种实现方式.md | 匹配关键词: default
✅ 成功 | PyOfficeRobot/group_send.md | 匹配关键词: default
✅ 成功 | PyOfficeRobot/20240605-3种实现方式-配套链接.md | 匹配关键词: default
✅ 成功 | PyOfficeRobot/20250301-开源中国推荐.md | 匹配关键词: default
✅ 成功 | PyOfficeRobot/20240419-机器人和大模型.md | 匹配关键词: default
❌ 跳过 | PyOfficeRobot/py-office-robot-001.md | 无frontmatter
✅ 成功 | PyOfficeRobot/get-group-list-001.md | 匹配关键词: default
✅ 成功 | spider/spider-2-wn-init.md | 匹配关键词: default
✅ 成功 | spider/spider-k-gz-0-4-month.md | 匹配关键词: default
✅ 成功 | wzllby/potx_cloud_Optimization.md | 匹配关键词: default
✅ 成功 | wzllby/potx-cloud-name-recognition.md | 匹配关键词: default
✅ 成功 | wzllby/potx-cloud-performance.md | 匹配关键词: default
✅ 成功 | work/pycon/20241121-2年了.md | 匹配关键词: default
✅ 成功 | work/pycon/20240726-招募.md | 匹配关键词: default
✅ 成功 | work/pycon/241123-上海.md | 匹配关键词: default
✅ 成功 | work/ca/20240721-川渝暴龙.md | 匹配关键词: default
✅ 成功 | bks-ai/科大讯飞/260109-一文读懂AI智能体.md | 匹配关键词: ai
✅ 成功 | bks-ai/科大讯飞/251228-讯飞智能体.md | 匹配关键词: default
✅ 成功 | ai/豆包/AI新解/20251124-漫威AI.md | 匹配关键词: ai
✅ 成功 | ai/豆包/20251105-python-pdf.md | 匹配关键词: python
✅ 成功 | ai/豆包/20251104-python-word.md | 匹配关键词: python
✅ 成功 | ai/豆包/20251105-成都AI圈藏不住了！这几家宝藏公司正在悄悄改变未来.md | 匹配关键词: ai
✅ 成功 | ai/豆包/20251106-Python-量化.md | 匹配关键词: python
✅ 成功 | ai/豆包/20251109-小鹏开源VLA大模型炸场！硬核拆解智能驾驶「安卓时刻」的真相.md | 匹配关键词: default
✅ 成功 | ai/豆包/20251105-上海值得去的AI公司名单.md | 匹配关键词: ai
✅ 成功 | ai/豆包/20251104-python-excel.md | 匹配关键词: python
✅ 成功 | ai/豆包/20251124-摩尔线程.md | 匹配关键词: default
✅ 成功 | ai/AI口播稿/抖音/1行代码系列/260224-1-3.md | 匹配关键词: default
✅ 成功 | ai/AI口播稿/抖音/1行代码系列/260224-4-7.md | 匹配关键词: default
✅ 成功 | ai/AI口播稿/抖音/1行代码系列/260224-定位.md | 匹配关键词: default
✅ 成功 | ai/AI口播稿/260110-AI学习方法.md | 匹配关键词: ai
✅ 成功 | ai/AI口播稿/260110-AI转型的痛点.md | 匹配关键词: ai
✅ 成功 | ai/AI口播稿/260110-学AI一定要学Python吗.md | 匹配关键词: python
✅ 成功 | ai/数字人/20240811-少儿编程.md | 匹配关键词: default
✅ 成功 | ai/数字人/20240817-数字人推荐.md | 匹配关键词: default
✅ 成功 | ai/数字人/20240817-group-t-ai.md | 匹配关键词: ai
✅ 成功 | ai/数字人/20240808-数据库.md | 匹配关键词: default
❌ 跳过 | ai/20250512-量化库.md | 无frontmatter
✅ 成功 | ai/20240804-py-win.md | 匹配关键词: default
❌ 跳过 | ai/20250712-外卖大战.md | 无frontmatter
✅ 成功 | ai/20250210-禁止使用ds的国家.md | 匹配关键词: default
❌ 跳过 | ai/ai-study-line.md | 无frontmatter
✅ 成功 | cpp/cpp-vscode-init.md | 匹配关键词: code
✅ 成功 | team/media/summary.md | 匹配关键词: default
✅ 成功 | news/20251209-2025.3-pycharm.md | 匹配关键词: pycharm
✅ 成功 | news/20250419-2025.1-pycharm.md | 匹配关键词: pycharm
✅ 成功 | python-course/120502/pandas-excel.md | 匹配关键词: default
✅ 成功 | python-course/120502/0301-excel.md | 匹配关键词: default
✅ 成功 | python-course/poocr/20240519-pdf2excel.md | 匹配关键词: default
✅ 成功 | python-course/poocr/20240515-pdf.md | 匹配关键词: default
✅ 成功 | python-course/poocr/0220-poocr.md | 匹配关键词: default
✅ 成功 | python-course/poocr/20250423-exe.md | 匹配关键词: default
✅ 成功 | python-course/poemail/20240526-失败的课程.md | 匹配关键词: default
✅ 成功 | python-course/poemail/0101-resources.md | 匹配关键词: default
✅ 成功 | python-course/soft/install-all.md | 匹配关键词: default
✅ 成功 | python-course/action/recording-line-50.md | 匹配关键词: default
✅ 成功 | python-course/50-python-office/20231001.md | 匹配关键词: default
✅ 成功 | python-course/0808/99-get-all.md | 匹配关键词: default
✅ 成功 | python-course/0808/9-get-all.md | 匹配关键词: default
❌ 跳过 | python-course/10-PyOfficeRobot/20250212-加入ds-官文.md | 无frontmatter
❌ 跳过 | python-course/10-PyOfficeRobot/加入智谱AI.md | 无frontmatter
❌ 跳过 | python-course/10-PyOfficeRobot/20231002.md | 无frontmatter
❌ 跳过 | python-course/10-PyOfficeRobot/20231004.md | 无frontmatter
❌ 跳过 | python-course/10-PyOfficeRobot/20250212-加入ds.md | 无frontmatter
❌ 跳过 | python-course/10-PyOfficeRobot/20250212-加入ds-技术文.md | 无frontmatter
❌ 跳过 | python-course/10-PyOfficeRobot/20250212-加入ds-引流.md | 无frontmatter
✅ 成功 | python-course/anaconda/0310-sources.md | 匹配关键词: default
✅ 成功 | python-course/pandas-excel.md | 匹配关键词: default
✅ 成功 | python-course/python-course.md | 匹配关键词: python
✅ 成功 | python-course/anaconda-100.md | 匹配关键词: default
✅ 成功 | python-course/50-python-office.md | 匹配关键词: python
✅ 成功 | python-course/no-coder-init-course.md | 匹配关键词: code
✅ 成功 | 106/money/85-course-group.md | 匹配关键词: course
✅ 成功 | 106/money/85-course-group-article.md | 匹配关键词: course
✅ 成功 | 106/awesome-python-books-zh.md | 匹配关键词: python
✅ 成功 | 106/book-start-code.md | 匹配关键词: code
✅ 成功 | 106/finance-data.md | 匹配关键词: data
✅ 成功 | 106/book-new-guide.md | 匹配关键词: book
✅ 成功 | 106/chuangshirenbiji.md | 匹配关键词: default
✅ 成功 | 106/python-data-base.md | 匹配关键词: python
✅ 成功 | 106/book-excel-fly.md | 匹配关键词: book
✅ 成功 | 106/book-simple-spider.md | 匹配关键词: book
✅ 成功 | 106/book-data-science.md | 匹配关键词: data
✅ 成功 | 106/book-work-auto.md | 匹配关键词: book
✅ 成功 | 106/book-data-process.md | 匹配关键词: data
✅ 成功 | 106/fluent-python.md | 匹配关键词: python
✅ 成功 | 106/book-量化投资.md | 匹配关键词: book
❌ 跳过 | 106/book-kaifazhinan.md | 无frontmatter
✅ 成功 | fuli/fuli-source-0726.md | 匹配关键词: default
✅ 成功 | fuli/zhifubao-0923.md | 匹配关键词: default
✅ 成功 | python-office/转载用/20240909-5个缺点.md | 匹配关键词: default
✅ 成功 | python-office/转载用/20240921-学了有用.md | 匹配关键词: default
✅ 成功 | python-office/python-office.com/web-11-guide.md | 匹配关键词: default
✅ 成功 | python-office/python-office.com/python-office-word-excel-pdf-ppt.md | 匹配关键词: python
✅ 成功 | python-office/poel/20250628-easydoc.md | 匹配关键词: default
✅ 成功 | python-office/ai-create/pro-py/1-@property.md | 匹配关键词: default
✅ 成功 | python-office/ai-create/pdf-libs.md | 匹配关键词: default
✅ 成功 | python-office/ai-create/excel-libs.md | 匹配关键词: default
✅ 成功 | python-office/potx/20250713-exe使用说明.md | 匹配关键词: default
✅ 成功 | python-office/potx/20241216-手写发票 高级版.md | 匹配关键词: default
✅ 成功 | python-office/potx/20241216-手写发票.md | 匹配关键词: default
✅ 成功 | python-office/exe/20250713-发票exe.md | 匹配关键词: default
❌ 跳过 | python-office/poword/docx2doc2docx-instructions.md | 无frontmatter
✅ 成功 | python-office/poword/20251027-docx库.md | 匹配关键词: default
✅ 成功 | python-office/poocr/客户需求/20250820-户口本&身份证.md | 匹配关键词: default
✅ 成功 | python-office/poocr/exe/20250428-开通权限.md | 匹配关键词: default
✅ 成功 | python-office/poocr/exe/20250502-exe2.md | 匹配关键词: default
✅ 成功 | python-office/poocr/exe/20251103-ai-exe.md | 匹配关键词: ai
✅ 成功 | python-office/poocr/20240506-百度社保识别.md | 匹配关键词: default
